Click,Swipe,Scroll,Input,Timestamps,Trip Type,Screen Time(min),Device Info,OS,App Version,Customer ID
3,3,3,5,2024-03-15 00:15:01.970435,news consumption journey,5,Asus ZenFone series,Android,['7.0.01'],+91 9594514739
4,4,4,3,2024-03-15 00:15:21.495686,news consumption journey,10,Pixel 2 XL,Android,['7.0.60'],+91 9994962137
4,4,4,5,2024-03-15 00:15:26.399889,news consumption journey,9,Galaxy Note8,Android,['7.0.47'],+91 8757736396
8,4,4,4,2024-03-15 00:15:42.329935,shopping journey,12,OnePlus 6/6T,Android,['7.0.60'],+91 8122890838
12,7,2,6,2024-03-15 00:16:03.808110,entertainment journey,14,Lenovo Z series,Android,['7.0.57'],+91 8220115866
3,4,5,3,2024-03-15 00:16:09.820298,news consumption journey,5,iPhone 14 plus,IOS,['7.0.47'],+91 7433346608
10,9,3,7,2024-03-15 00:16:52.985160,entertainment journey,17,Pixel 4,Android,['7.0.25'],+91 8863939935
19,13,7,7,2024-03-15 00:17:17.911319,long exploration journey,28,Pixel 7 Pro,Android,['7.0.01'],+91 9479349102
12,10,3,9,2024-03-15 00:17:38.169508,entertainment journey,11,Galaxy Note9,Android,['6.0.48'],+91 8062813144
4,1,1,1,2024-03-15 00:17:40.897460,single feature journey,4,Galaxy Tab series,Android,['7.0.60'],+91 8010751616
3,3,2,2,2024-03-15 00:18:17.460864,news consumption journey,10,OnePlus 7/7 Pro/7T/7T Pro,Android,['5.0.28'],+91 8919480731
3,5,3,5,2024-03-15 00:18:20.732820,news consumption journey,5,Galaxy Tab series,Android,['7.0.25'],+91 9942407604
4,4,2,2,2024-03-15 00:18:33.777335,news consumption journey,7,Galaxy S9,Android,['7.0.60'],+91 7236999589
3,1,1,2,2024-03-15 00:18:41.373454,single feature journey,2,Galaxy S8,Android,['7.0.47'],+91 8565098876
3,3,5,2,2024-03-15 00:18:49.393282,news consumption journey,8,HTC One series,Android,['7.0.60'],+91 8060019947
12,7,2,8,2024-03-15 00:19:03.702221,entertainment journey,15,Galaxy S6,Android,['7.0.47'],+91 8180970339
6,2,5,3,2024-03-15 00:19:47.545984,mixed usage,9,OnePlus 5/5T,Android,['6.0.48'],+91 7026308535
8,3,4,3,2024-03-15 00:19:54.255809,shopping journey,11,Galaxy S20,Android,['7.0.57'],+91 7842582785
8,2,2,5,2024-03-15 00:20:01.334750,mixed usage,10,OnePlus 11,Android,['7.0.47'],+91 8027065852
19,14,6,10,2024-03-15 00:20:06.682297,long exploration journey,26,Galaxy M series,Android,['7.0.57'],+91 9046213551
14,6,3,8,2024-03-15 00:20:09.917230,entertainment journey,16,Pixel 6 Pro,Android,['6.0.11'],+91 7014306952
4,1,1,1,2024-03-15 00:20:11.877814,single feature journey,10,Poco series,Android,['7.0.57'],+91 7063431164
6,5,5,5,2024-03-15 00:20:18.895811,shopping journey,11,Asus ZenFone series,Android,['7.0.01'],+91 8804212718
5,2,2,1,2024-03-15 00:20:52.356895,single feature journey,3,Moto Z series,Android,['7.0.25'],+91 7250539922
6,2,2,2,2024-03-15 00:21:03.630039,mixed usage,11,Galaxy S9,Android,['7.0.60'],+91 8882993566
10,3,3,2,2024-03-15 00:21:06.023889,mixed usage,15,Pixel 2 XL,Android,['6.0.04'],+91 7836639768
5,1,2,1,2024-03-15 00:21:10.127031,single feature journey,4,OnePlus 6/6T,Android,['7.0.57'],+91 8882423641
8,2,5,5,2024-03-15 00:21:45.346081,mixed usage,14,Pixel XL,Android,['7.0.57'],+91 7947420003
19,13,8,7,2024-03-15 00:22:01.368791,long exploration journey,30,Galaxy Note5,Android,['7.0.60'],+91 8117507438
20,12,5,9,2024-03-15 00:22:27.531742,long exploration journey,25,Galaxy S6,Android,['7.0.57'],+91 7739788068
7,3,4,4,2024-03-15 00:22:32.235122,mixed usage,12,P series,Android,['7.0.03'],+91 8330810011
11,6,2,6,2024-03-15 00:23:26.620884,entertainment journey,12,iPhone 7 Plus,IOS,['7.0.57'],+91 7486009893
5,5,4,2,2024-03-15 00:23:43.558514,news consumption journey,5,Pixel 2 XL,Android,['7.0.47'],+91 9841505529
19,14,8,5,2024-03-15 00:23:54.919482,long exploration journey,26,Pixel XL,Android,['7.0.57'],+91 8579316884
3,5,5,2,2024-03-15 00:24:04.690503,news consumption journey,6,Nokia 6,Android,['7.0.47'],+91 8802891805
10,7,5,9,2024-03-15 00:24:41.128211,entertainment journey,16,Galaxy S20,Android,['5.0.28'],+91 9667056668
3,3,5,2,2024-03-15 00:25:07.842247,news consumption journey,5,Galaxy A series,Android,['7.0.57'],+91 9629926586
17,14,5,5,2024-03-15 00:25:13.904499,long exploration journey,27,iPhone 14 Pro Max,IOS,['7.0.47'],+91 8692951355
15,9,2,5,2024-03-15 00:25:13.939807,entertainment journey,17,iPhone 7 Plus,IOS,['7.0.01'],+91 8383989827
12,6,3,5,2024-03-15 00:25:36.188797,entertainment journey,13,LG G series,Android,['7.0.60'],+91 9290322125
17,14,8,7,2024-03-15 00:26:14.871827,long exploration journey,25,Pixel 3 XL,Android,['5.0.28'],+91 8399904331
4,2,1,1,2024-03-15 00:26:26.653955,single feature journey,2,Galaxy S9,Android,['7.0.47'],+91 7159614086
3,2,2,2,2024-03-15 00:26:28.625978,single feature journey,8,Moto X series,Android,['7.0.03'],+91 8500329046
19,14,5,8,2024-03-15 00:26:38.041189,long exploration journey,27,Galaxy Note20,Android,['7.0.03'],+91 8310161746
17,13,5,5,2024-03-15 00:26:52.806490,long exploration journey,30,Pixel 2,Android,['7.0.47'],+91 9825313223
5,2,2,2,2024-03-15 00:27:15.776978,single feature journey,10,Galaxy Note20,Android,['7.0.57'],+91 8975040045
12,6,2,8,2024-03-15 00:27:19.424878,entertainment journey,15,Galaxy S7,Android,['7.0.57'],+91 8155051493
4,2,1,1,2024-03-15 00:27:24.537256,single feature journey,6,OnePlus 6/6T,Android,['7.0.60'],+91 7160409656
9,2,3,2,2024-03-15 00:27:30.092956,mixed usage,8,Pixel 3a,Android,['6.0.48'],+91 7751665189
4,1,1,1,2024-03-15 00:28:07.404052,single feature journey,7,OnePlus 2,Android,['7.0.60'],+91 8865079326
15,5,2,5,2024-03-15 00:28:08.549076,entertainment journey,10,Galaxy Note5,Android,['7.0.47'],+91 7116417452
5,1,1,1,2024-03-15 00:29:08.246749,single feature journey,9,iPhone 6,IOS,['6.0.48'],+91 8752856866
10,5,3,5,2024-03-15 00:29:14.741764,mixed usage,19,Galaxy S20,Android,['7.0.47'],+91 9075930643
4,4,5,3,2024-03-15 00:29:35.558650,news consumption journey,6,Moto G series,Android,['7.0.60'],+91 9915931854
8,3,2,3,2024-03-15 00:29:50.471575,mixed usage,10,Pixel 5,Android,['7.0.60'],+91 8202499818
20,15,6,7,2024-03-15 00:29:51.607768,long exploration journey,26,iPhone XR,IOS,['7.0.01'],+91 7614480604
3,5,4,5,2024-03-15 00:30:20.978012,news consumption journey,8,Nokia 5,Android,['7.0.60'],+91 8483166836
15,8,4,8,2024-03-15 00:30:31.757406,entertainment journey,14,Redmi series,Android,['7.0.57'],+91 9386561104
3,4,3,5,2024-03-15 00:30:54.090627,news consumption journey,10,Pixel 4a,Android,['7.0.57'],+91 9180741187
7,3,4,2,2024-03-15 00:31:25.689960,mixed usage,14,Lenovo Z series,Android,['7.0.60'],+91 9209917068
8,4,4,5,2024-03-15 00:31:25.741118,mixed usage,17,Nokia XR21,Android,['7.0.57'],+91 7039661334
5,4,3,2,2024-03-15 00:31:35.902311,news consumption journey,7,Galaxy Note10,Android,['7.0.25'],+91 8204454532
15,12,10,6,2024-03-15 00:31:36.408056,long exploration journey,25,Lenovo K series,Android,['7.0.57'],+91 8151041146
