Click,Swipe,Scroll,Input,Timestamps,Trip Type,Screen Time(min),Device Info,OS,App Version,Customer ID
3,1,1,2,2024-03-15 00:44:48.272613,single feature journey,3,OnePlus 10 Pro,Android,['6.0.04'],9054864386
10,7,2,5,2024-03-15 01:26:23.880669,entertainment journey,10,Nokia 8,Android,['7.0.03'],7104043987
4,1,1,2,2024-03-15 01:54:45.197159,single feature journey,5,LG V series ,Android,['6.0.11'],7546553466
3,1,2,2,2024-03-15 01:56:57.718881,single feature journey,5,Moto X series,Android,['7.0.57'],9227021520
10,5,4,4,2024-03-15 02:12:38.964197,mixed usage,8,iPhone 8,IOS,['7.0.60'],9662241266
13,5,3,10,2024-03-15 02:36:29.360387,entertainment journey,12,OnePlus 5/5T,Android,['7.0.60'],7659416078
9,5,5,2,2024-03-15 02:40:48.550538,shopping journey,13,LG G series,Android,['7.0.47'],9683031855
16,13,10,8,2024-03-15 03:29:06.410678,long exploration journey,29,LG Q series,Android,['7.0.25'],9344162446
15,12,8,7,2024-03-15 03:39:59.361030,long exploration journey,30,Sony Xperia series,Android,['7.0.57'],9136524607
7,4,2,2,2024-03-15 03:44:21.704252,shopping journey,12,Nova series,Android,['7.0.25'],7497739056
8,3,2,5,2024-03-15 05:48:34.519970,mixed usage,8,Pixel 5,Android,['6.0.48'],9945624560
5,5,4,3,2024-03-15 06:51:48.528726,shopping journey,14,iPhone 5,IOS,['7.0.57'],7717915113
5,4,5,5,2024-03-15 07:14:31.994522,news consumption journey,9,Galaxy A series,Android,['7.0.60'],7791381667
5,3,5,3,2024-03-15 08:04:46.438828,news consumption journey,7,Pixel 5,Android,['7.0.47'],7771353408
5,2,2,2,2024-03-15 08:39:14.059005,single feature journey,2,LG G series,Android,['7.0.57'],9482202224
7,4,4,5,2024-03-15 08:47:07.126627,mixed usage,19,OnePlus 9/9 Pro,Android,['6.0.48'],9706252626
11,10,3,9,2024-03-15 10:31:29.233393,entertainment journey,13,Galaxy S22,Android,['7.0.57'],7275041378
17,14,9,5,2024-03-15 10:45:02.703156,long exploration journey,25,OnePlus 5/5T,Android,['6.0.48'],9480036390
10,4,5,2,2024-03-15 10:47:14.367232,mixed usage,14,Nokia XR21,Android,['6.0.04'],9095122102
18,12,6,8,2024-03-15 10:51:57.714718,long exploration journey,30,OnePlus 12,Android,['7.0.57'],7083733040
16,15,9,6,2024-03-15 11:03:51.900087,long exploration journey,26,iPhone 6S Plus,IOS,['7.0.03'],8504882980
11,10,2,9,2024-03-15 11:09:21.915572,entertainment journey,18,Pixel 2 XL,Android,['7.0.47'],7560163642
4,2,1,1,2024-03-15 11:11:21.712222,single feature journey,7,Pixel 4a 5G,Android,['7.0.57'],8651790661
20,13,8,8,2024-03-15 12:12:30.400182,long exploration journey,29,OnePlus 12,Android,['7.0.47'],9932549804
4,4,2,4,2024-03-15 13:40:07.626762,news consumption journey,7,iPhone 5C,IOS,['7.0.25'],9521284045
